Name,Position,HS,City,State,Height,Inches,Weight,CompRating,Offerer,Year,NatRank,PosRank,StRank,Stars,CommittedTo,15,Place,lon,lat
Tayven Jackson,QB,Center Grove,Greenwood,IN,6,4,195,0.9179,Florida,2022,208,13,7,4,Tennessee,//247sports.com/player/tayven-jackson-46093623,"Center Grove, Greenwood, IN",-86.1955169,39.5690866
Jacurri Brown,QB,Lowndes,Valdosta,GA,6,4,205,0.908,Florida,2022,257,17,23,4,Miami,//247sports.com/player/jacurri-brown-46085390,"Lowndes, Valdosta, GA",-83.2784851,30.8327022
Nicco Marchiol,QB,Hamilton,Chandler,AZ,6,2,216,0.9024,Florida,2022,281,19,4,4,West Virginia,//247sports.com/player/nicco-marchiol-46084789,"Hamilton, Chandler, AZ",-111.8331451,33.2930644
Braden Davis,QB,Middletown,Middletown,DE,6,5,195,0.8896,Florida,2022,390,23,1,3,South Carolina,//247sports.com/player/braden-davis-46081684,"Middletown, Middletown, DE",-75.7163207,39.449556
MJ Morris,QB,Carrollton,Carrollton,GA,6,2,190,0.887,Florida,2022,421,27,43,3,NC State,//247sports.com/player/mj-morris-46079322,"Carrollton, Carrollton, GA",-85.0766113,33.5801103
Max Brown,QB,Lincoln Christian School,Tulsa,OK,6,3,200,0.8342,Florida,2022,NA,96,27,3,Florida,//247sports.com/player/max-brown-46115946,"Lincoln Christian School, Tulsa, OK",-95.8301783,36.1679707
Devon Campbell,IOL,Bowie,Arlington,TX,6,3,310,0.9944,Florida,2022,10,1,3,5,Texas,//247sports.com/player/devon-campbell-46093947,"Bowie, Arlington, TX",-97.117337,32.741999
Earnest Greene,IOL,St. John Bosco,Bellflower,CA,6,4.5,330,0.9805,Florida,2022,45,2,3,4,Georgia,//247sports.com/player/earnest-greene-46080544,"St. John Bosco, Bellflower, CA",-118.123248,33.9066078
Kam Dewberry,IOL,Atascocita,Humble,TX,6,4,313,0.9723,Florida,2022,64,3,10,4,Texas A&M,//247sports.com/player/kam-dewberry-46056698,"Atascocita, Humble, TX",-95.2553172,29.961081
Neto Umeozulu,IOL,Allen,Allen,TX,6,4,285,0.9599,Florida,2022,91,4,16,4,Texas,//247sports.com/player/neto-umeozulu-46102211,"Allen, Allen, TX",-96.67055030000002,33.1031744
Emery Jones,IOL,Catholic,Baton Rouge,LA,6,4,341,0.9549,Florida,2022,110,5,11,4,LSU,//247sports.com/player/emery-jones-46101512,"Catholic, Baton Rouge, LA",-91.18714659999999,30.4514677
Addison Nichols,IOL,Greater Atlanta Christian School,Norcross,GA,6,5,318,0.9422,Florida,2022,143,6,15,4,Tennessee,//247sports.com/player/addison-nichols-46080082,"Greater Atlanta Christian School, Norcross, GA",-84.1705545,33.91987
Julian Armella,IOL,St. Thomas Aquinas,Fort Lauderdale,FL,6,6,285,0.9395,Florida,2022,152,8,18,4,Florida State,//247sports.com/player/julian-armella-46079370,"St. Thomas Aquinas, Fort Lauderdale, FL",-80.1329575,26.1190231
